Language,Category,post_count,up_count,comment_count,user_count,referenced_count,timespan_hours_for_closure,Popularity,Difficulty
c#,Software Vulnerabilities,239,20,1112,619,65,80976.61750000001,1.002791343650013,9.59927853059686
c#,Security,11257,2005,42796,28308,4608,2956220.6194444452,1.1941335898919911,10.368167149914532
python,Secure Development,7974,1332,30235,20644,6017,1496884.2133333334,1.1792153343746647,11.901669292647904
python,Cryptography,2175,320,4020,4086,1629,127454.78777777778,0.7994025635015891,6.6249004695320695
python,Access Control,1850,311,5130,4287,985,322196.57416666666,1.0260582519414665,9.629568924845703
python,Network Security,1378,451,6376,4060,670,373437.4777777778,1.646270049044455,11.478817055503406
python,Software Vulnerabilities,699,262,2875,1953,344,124916.83583333333,1.627058939932787,9.378049764971836
python,Data Security,290,35,994,777,52,13482.026388888888,1.0348891123904778,2.8872291936102785
python,Security,14366,2711,49630,35807,9697,2458371.9152777777,1.1756499983473823,10.747479579810394
bash,Secure Development,3540,795,13094,9114,1738,397953.1325,1.2883867044982462,7.4291236679717265
bash,Network Security,2327,535,7784,5610,1064,290235.8647222222,1.2285045620163666,7.551791128278206
bash,Data Security,525,186,2293,1379,348,213397.9263888889,1.5958832566075072,16.41441525453003
bash,Security,6392,1516,23171,16103,3150,901586.923611111,1.2938387605650867,8.337240176322862
c,Secure Development,8311,702,27690,18334,6462,787173.693611111,0.8530722523090759,8.581544928484762
c,Network Security,2286,395,8981,5516,1149,358121.54277777777,1.1787972764945052,8.87358291385762
c,Cryptography,2016,213,7319,4601,1559,254815.42055555555,0.9566153239300756,9.886564022217163
c,Data Security,1956,400,9678,4977,1063,249635.34,1.3705731917952693,8.32819365540304
c,Access Control,1298,255,4760,3107,514,270602.44416666665,1.1991902891439992,9.085999833398407
c,Software Vulnerabilities,927,22,2006,1772,771,58676.116111111114,0.4613098291164969,7.255680232454142
c,Security,16794,1987,60434,38307,11518,1979024.557222222,0.9902958692139009,8.990005964978748
ruby,Access Control,5729,911,17849,13936,3031,1305808.9505555555,1.064170737320058,10.981305315476998
ruby,Secure Development,5510,1151,21163,14655,3888,491605.4686111111,1.2874425563014056,7.93450579997982
ruby,Network Security,1685,427,7160,4705,793,438338.9066666666,1.4433343132629624,11.06475236104409
ruby,Software Vulnerabilities,1610,183,7313,4199,1121,196646.0925,1.104260751905478,9.221882636413538
ruby,Security,14534,2672,53485,37495,8833,2432399.418333333,1.2040063611271106,10.085243881821809
objective-c,Access Control,578,141,1843,1454,123,131367.3647222222,1.2507632521691094,6.954540830662483
objective-c,Secure Development,510,65,1522,1258,278,86710.10638888887,0.9789624651342596,9.626913761639953
objective-c,Network Security,507,95,2140,1328,161,155249.4925,1.2747857258027266,9.860979893298513
objective-c,Data Security,406,112,1669,1104,113,64644.852222222224,1.4555320652016641,6.657024597555567
objective-c,Cryptography,271,35,908,670,110,59287.170277777775,1.0227597012915328,9.423395370716635
objective-c,Software Vulnerabilities,200,24,432,423,94,42849.68583333334,0.8184304698797417,10.034777611304266
objective-c,Security,2472,472,8514,6237,879,540108.6719444444,1.1838644963424279,8.814273988883032
swift,Network Security,686,86,1666,1427,360,81330.17583333334,0.8587663620960145,7.887747329833404
swift,Secure Development,661,111,2004,1554,410,48555.40166666667,1.0617504262063167,6.750085042524159
swift,Access Control,387,66,934,822,190,67753.1811111111,0.9561879024229789,9.271087519396753
swift,Cryptography,333,49,1181,778,84,36966.40055555555,1.068310814325992,5.291746022756832
swift,Data Security,45,43,240,124,20,8267.240833333333,2.4126145744658802,9.036136415353214
swift,Security,2112,355,6025,4705,1064,242872.40000000002,1.0222436704477693,7.611425174535804
powershell,Secure Development,4112,434,12654,10918,1814,427604.10305555555,0.9518469235099478,6.773084085870029
powershell,Security,4112,434,12654,10918,1814,427604.10305555555,0.9518469235099478,6.773084085870029
perl,Data Security,2150,124,6424,4483,1397,549497.3080555556,0.7109300290886102,12.886724017004916
perl,Secure Development,38,2,174,55,14,11900.70916666667,0.7039314699447888,10.741547225420424
perl,Security,2188,126,6598,4538,1411,561398.0172222223,0.7114894503856887,12.863277133970353
go,Secure Development,17587,6755,72538,47501,13438,2317631.9630555552,1.6234520432743855,10.034547443240568
go,Access Control,2398,1314,7126,5912,1374,872746.1736111111,1.5893127133458003,14.440697290832725
go,Network Security,1824,550,5701,4479,904,292240.255,1.3227367818941893,8.911060665856668
go,Cryptography,1387,255,3462,2935,1017,125891.78194444445,0.9902586745133277,8.157981306216737
go,Data Security,429,83,888,842,329,30198.840833333335,0.922876862073066,7.347435687289114
go,Software Vulnerabilities,236,29,351,430,232,10414.175555555554,0.6931265271167776,6.586344407200411
go,Security,23861,8986,90066,62099,17294,3649123.1899999995,1.5466141931649673,10.528181153134774
typescript,Secure Development,4764,2233,15054,12274,2945,427506.07722222223,1.5626815996527215,7.44804073384969
typescript,Access Control,2753,1444,9747,7371,1024,626461.1788888889,1.706797424188321,9.200064002511068
typescript,Software Vulnerabilities,2185,1073,6372,5264,1265,267913.74361111113,1.5110506265026489,8.425415316885395
typescript,Network Security,525,275,1940,1478,175,76109.205,1.759720320857528,6.951496584326627
typescript,Security,10227,5025,33113,26387,5409,1397990.2047222222,1.6011300735019884,8.502806561360826
