postid,tags,title,question,answers,words,creation_date,Related
32327808,java jax-ws soap webservice-client ws-security,creat soap client wss secur,need creat servic client access secur servic creat servic stub wsdl file cxf maven tri sign soap header cannot make header appear soap request tri find exampl googl found provid header request tri includ cxf-rt-ws-secur abl pull depend say failur find net.sf.ehcache:ehcache:jar:2.9.0 help greatli appreci header tri soap request look,,security|signing,2015-09-01 09:17:34.877 UTC,Yes
29798347,object-serialization odoo php security,secur php object serial safe pass across pages? use phpxmlrpc,basic im use phpxmlrpc commun odoo essenc commun everi request need send need follow structur written class constructor set instanc variabl valu pass constructor i.e occas wish object somewher els line perhap anoth page instead ask user effect login enter detail creat anoth object safe enough serial phpclient object store session page requir object order verifi user log suffici permiss deseri object carri rpc request,assum discuss store object %_session variabl variabl store server modifi server session secur server user login server caus server behav incorrectli via applic bug session secur otherwis probabl good enough specif answer secur php object serial serial secur encod encrypt data anyon deseri modifi re-seri object serial add secur session secur enough need add addit secur safe serial across request even safe put user input data serial howev never unseri data user possibl modifi exampl never unseri cooki form payload anyth anoth server send yes perfectli safe serial store data session,security|safe|login|encode|encrypt|cookie,2015-04-22 12:59:10.74 UTC,Yes
16899318,digital-signature php saml x509certificate xml,check xml .pfx certif,work creat servic provid sso alreadi whole system run thing left verifi respons use certif provid ident provid certifc namewhere.pfx password small string xml respons decod pars use php need verifi xml respons googl alot figur possibl certif .pem format googl found linux command unsur go command php code creat file avail simpli creat .pem file store online? place avoid secur problem etc,tri verifi digit signatur need public certif signer far secur problem go need worri expos certif sinc alreadi public main thing make sure one switch certif trust anoth one sinc need public certif probabl best extract pfx file use command given convert pfx pem use openssl pfx file contain privat key want expos anoth reason extract public cert function verifi signatur need data sign signatur public key exampl code link extract public key certif verifi signatur,signing|signature|saml|certificate|sso|password|decode|availability|security|trust|openssl|private key|public key,2013-06-03 14:37:23.053 UTC,Yes
20397556,c# csr private-key rsa ssl,gener csr export privat key c,tri write code gener csr export privat key c# programmat found blog post almost one code csr privat key gener export base64 string ssl sertif issu csr howev export privat key error got key modulu hash unabl decod key corrupt incorrect format onlin tool hope show mistak save day,,rsa|ssl|private key|hash|decode,2013-12-05 10:31:29.653 UTC,Yes
38461705,git jenkins jenkins-pipeline ssh,checkout jenkin pipelin git scm credenti,follow tutori howev tell add credenti jenkin specif credenti section defin user user&amp;pass id job pipelin instructions? tri luck configur cred pipelin put ssh-key jenkin linux user .ssh/authorized_key file? ideal world repositori pipelin job repo-key launch docker jenkin dynam add job key without configur anyth jenkin consol,worth ad discussion. end help me. sinc pipelin run within workspac within docker imag clean time run grab credenti need perform necessari oper repo within pipelin store .netrc file allow author git repo oper success explicitli checkout use specif credenti checkout base configr credenti current jenkin job stage within singl jenkin file want ssh credenti want usernam password credenti need http clone @serban mention ad quick exampl use git plugin gitscm pipelin follow pipelin use ssh url credenti must usernam + privat key use http clone url instead ssh one credenti usernam + password,ssh|credential|authorise|username|password|private key,2016-07-19 14:43:12.71 UTC,Yes
8718366,plone python xmlrpclib,xmlrpclib wsapi4plon - check usernam password,one function check usernam password correct method return,check provid credenti valid use trick provid plone site wsapi4plon correctli instal correspond code,username|password|credential|validate,2012-01-03 20:46:08.76 UTC,Yes
14991698,blowfish hash mysql passwords php,use blowfish php store password,whole cryptolog thing lot swallow realli interest read late question use blowfish hash password storag know salt need exactli sure question mani tutori read peopl seemingli randomli come one oidsjf03 salt mash keyboard what? read lot say password uniqu hash gener separ salt password store store somewher however? store entri user row databas compromis gener rainbow tabl salt? correct say viabl need gener rainbow tabl everi password blowfish creat hash take awhil practical? uniqu one user important? say use blowfish databas compromis salt get captur well hacker creat rainbow tabl test password good amount round hash take 0.1 second per password instanc want creat rainbow tabl 1 billion entri 100 million second creat around 3 year use uniqu salt say 1000 password creat 1000 rainbow tabl increas amount time 3000 year why? amount time goe per password stored? gener salt hash? php function enough fanci stuff? realli need creat full class et al creat simpl function? lastli heard phpass mention lot secur user instead potenti make error realli recommend practic,1- mani tutori read peopl seemingli randomli come one oidsjf03 salt mash keyboard what? use salt everyth bad idea period 2- read lot say password uniqu hash gener separ salt password store store somewher however? store entri user row databas compromis gener rainbow tabl salt? salt part hash rainbow tabl work multipl user salt uniqu right? store hash fine goe #3 4- gener salt hash? php function enough fanci stuff? php 5.5 password hash function built directli php meantim see aforement link comment link github project forward compat function avail php >= 5.3.7 6- lastli heard phpass mention lot secur user instead potenti make error realli recommend practice? built-in php function better alway kept up-to-d secur vulner becom known instead howev phpass good altern addit answer save salt hash db brcaus db compromis attak need know salt algorithm hash$pass.$salt hashhash$pass.$salt etc,hash|password|crypt|salt|rainbow table|hack|security|availability|vulnerability,2013-02-20 23:13:20.153 UTC,Yes
20370016,ajax html javascript passwords security,html protect password field,"work websit want provid secur commun cannot afford spend much follow normal sent plain text transport protocol cheap host ・・ｬ1 per month cannot realli afford respect websit donat import secur ssl certif subdomain 8,50・・ｬ per month wonder option prevent password sent ? actual matter sent plain text readabl anyon els browser server guess alway possibl plain text live server side valid input field ajax check password length etc exampl still access data even make sens access exampl html javascript/jqueri php ajax possibl languag need",need encrypt hide commun eavesdropp - need ssl.a see main featur ssl certif authent client know realli surf site fish site exampl authent help man middl mitm attack want hide password eavesdropp send public key send password encrypt public key far one know privat key client realli receiv public key - enough notic solut work mitm attack chang public key sent client public key attack decrypt encrypt password know privat key new public key.if ssl client verifi public key realli sign certif author recommend search implement public key oper js,scripting|password|security|protect|transport|ssl|certificate|validate|encrypt|crypt|eavesdropping|authentication|mitm|attack|public key|private key|signing|authorise,2013-12-04 07:59:13.597 UTC,Yes
21266541,java jboss5.x jersey security,overrid jboss secur domain jersey rest servic,applic use jersey rest web servic commun frontend servic secur spnego run jboss 5 spnego secur domain configur howev coupl web servic client front end non-window client henc spnego work overrid secur domain basic auth scheme servic search prefer without spring secur technolog scope spring secur look annot possibl,,security|spnego,2014-01-21 18:43:47.263 UTC,Yes
8428922,c#,encrypt 32-bit integ 32-bit integ decrypt,possibl duplic one-to-on integ map function need encrypt 32-bit integ 32-bit integ decrypt dose one know it? thank advance!! thank yes need high secur encrypt 32-bit unsign integ 32-bit sign integ,follow naiv work mix bit xor ^ number naiveti approach concern shannon concept entropi - cannot good encrypt without increas result messag length choos random permut 32 bit integ encrypt calcul invers permut decrypt best possibl secur requir store entir permut 128 gb key size = possibl rsa encrypt integ necessarili secur number work small work exampl think go modern level secur someth start end small classic one xor particular secret number xore number result origin number howev fall known-plaintext attack fraction second even break case pencil paper quickli enough remov certain properti remov abl guess nearbi id number one see pick random integ encrypt key xor integ key encrypt xor integ key decrypt,encrypt|crypt|security|signing|rsa|attack,2011-12-08 09:40:52.943 UTC,Yes
59945856,java cryptography keystore cng,sign java ksp/cng,sign data window keystore? key store window keystor access window keystor obtain key refer given alia reflect object access entri x509certif object privatekey object sign data.thi method enabl key refer sign behind certif window keystor key storag provid ksp custom key storag provid made know work possibl sign key whose certif referenc window keystor provid window keystor ksp? key store hsm edit correct terminolog text make sen,ok found java sunmscapi provid java 8 mention question. support ksp known cng capi2 support crypto api capi key want sign provid cng provid support java 8 support java 13 https://bugs.openjdk.java.net/browse/jdk-8026953,crypt|signing|certificate|hsm,28/01/2020 9:40,Yes
50014172,c# element sign xml,sign xml element c,show sign xml element c# use system.security.cryptographi use system.security.cryptography.xml use system.security.cryptography.x509certif exampl xml file know gener code know gener pleas help,,signing|security|crypt|certificate,2018-04-25 04:39:05.91 UTC,Yes
16594613,blowfish hash passwords php security,hash long password >72 charact blowfish,last week read lot articl password hash blowfish seem one best hash algorithm right - topic question! 72 charact limit blowfish consid first 72 charact enter password output see first 72 charact matter twitter use blowfish aka bcrypt store password https://shouldichangemypassword.com/twitter-hacked.php guess chang twitter password long password 72 charact login account enter first 72 charact blowfish pepper lot differ opinion pepper password peopl say unnecessari assum secret pepper-str known/publish enhanc hash separ databas server quit possibl databas leak constant pepper case pepper leak make attack base dictionari difficult correct right pepper-str leak bad - still salt good protect hash without pepper think pepper password least bad choic suggest suggest blowfish hash password 72 charact pepper base question return question safer way? get sha-256 hash first return 64 charact consid first 72 charact password? pro user login enter first 72 charact add pepper without exceed character-limit output hash_hmac probabl entropi password password hash two differ function con 64 charact use build blowfish hash edit 1 question adress php integr blowfish/bcrypt thank comment,pepper password sure good thing let see first answer question exactli pepper help pepper protect password long stay secret attack access server much easier attack though sql-inject allow read-access databas hash-valu prepar demo sql-inject show easi click next arrow prepar input pepper actual help? long pepper stay secret protect weak password dictionari attack password becom someth password much longer contain special charact never part dictionari estim password user probabl user enter weak password user password 64-72 charact actual rare anoth point rang brute-forc sha256 hash function return 256 bit output 1.2e77 combin way much brute-forc even gpu calcul correctli need 2e61 year gpu 2013 real disadvantag appli pepper hash-valu systemat cannot speed brute-forc common pattern p.s far know 72 charact limit specif algorithm bcrypt best answer found p.p. think exampl flaw cannot gener hash full password length verifi truncat one probabl meant appli pepper gener hash verif hash problem basic problem entropi let start look entropi per charact number bit entropi per byte hex charact bit 4 valu 16 entropi 72 char 288 bit alpha-numer bit 6 valu 62 entropi 72 char 432 bit common symbol bit 6.5 valu 94 entropi 72 char 468 bit full byte bit 8 valu 255 entropi 72 char 576 bit act depend type charact expect first problem first problem code pepper hash step output hex charact sinc fourth paramet therefor hash pepper effect cut maximum entropi avail password factor 2 576 288 possibl bit second problem howev provid bit entropi first place effect cut possibl 576 bit 256 bit hash step * immediately* definit lose least 50% possibl entropi password partial solv switch reduc avail entropi 12% still not-insignific differ 12% reduc number permut factor big number. factor reduc by. underli issu underli issu three type password 72 charact impact style system differ note assum compar pepper system use raw output hex high entropi random password user use password gener gener amount larg key password random gener human chosen high entropi per charact type use high-byt charact > 127 control charact group hash function significantli reduc avail entropi let say user use high entropi long password solut significantli reduc strength password measur amount 62 bit entropi lost 72 charact password longer password medium entropi random password group use password contain common symbol high byte control charact typabl password group go slightli unlock entropi creat allow entropi fit bcrypt password say slightli mean slightli break-even occur max 512 bit sha512 therefor peak 78 charact let say class password store addit 6 charact run entropi low entropi non-random password group use alpha-numer charact probabl randomli gener someth bibl quot phrase approxim 2.3 bit entropi per charact group significantli unlock entropi creat allow fit bcrypt password input hash breakeven around 223 charact run entropi let say class password pre-hash definit increas secur significantli back real world kind entropi calcul realli matter much real world matter guess entropi directli effect attack want maxim littl research gone guess entropi point point chanc randomli guess 72 correct charact row extrem low like win powerbal lotteri 21 time collision. big number talk stumbl statist case phrase chanc first 72 charact whole lot higher random password still trivial low like win powerbal lotteri 5 time base 2.3 bit per charact practic practic realli matter chanc someon guess first 72 charact right latter one make signific differ low worth worri why? well let say take phrase person first 72 charact right either realli lucki like common phrase common phrase variabl long make let take exampl let take quot bibl common sourc long text reason shall covet neighbor hous shall covet neighbor wife manserv maidserv ox donkey anyth belong neighbor 180 charact 73rd charact second guess much like stop continu rest vers sinc password like use therefor hash add much btw absolut advoc use bibl quot fact exact opposit conclus realli go help peopl much long password hash first group definit help definit hurt end none overli signific number deal high differ entropi go much better leav bcrypt like screw hash liter done alreadi first last make mistak attack tri prevent go happen focu secur rest site add password entropi meter password box registr indic password strength indic password overlong user wish chang it. $0.02 least possibl $0.02. far use secret pepper liter research feed one hash function bcrypt therefor unclear best feed pepper hash bcrypt ever caus unknown vulner know expos signific vulner around collis resist preimag attack consid alreadi consid store secret key pepper well studi understood? encrypt hash prior store it? basic hash password feed entir hash output strong encrypt algorithm store encrypt result sql-inject attack leak anyth use cipher key key leak attack better use plain hash provabl someth pepper pre-hash provid note choos librari php strongli recommend zend framework 2 packag actual one recommend current point time strongli review make decis good thing. someth benefici use algorithm way well understood well studi rel least rememb anyon clueless amateur best cryptograph creat algorithm break bruce schneier bcrypt use algorithm base expens blowfish key setup algorithm recommend 56 byte password limit includ null termin byte bcrypt relat 448 bit limit blowfish key byte beyond limit fulli mix result hash 72 byte absolut limit bcrypt password therefor less relev consid actual effect result hash byte think user normal choos password 55 byte length rememb alway increas round password stretch instead increas secur case password tabl breach although lot compar ad extra charact access right user critic user normal requir massiv long password password expiri short 2 week mean password much less like remain valid hacker invest resourc defeat work factor involv test trial password see produc match hash cours case password tabl breach allow hacker ten attempt guess user 55 byte password lock user account decid pre-hash password longer 55 byte sha-384 largest output without go limit,hash|password|security|crypt|hack|login|leak|attack|salt|protect|safe|sha|hmac|integrity|sql-injection|availability|signing|vulnerability|encrypt|cipher|breach|validate|user account,2013-05-16 18:17:02.743 UTC,Yes
47886389,active-directory powershell rest scripting windows,invok rest api method updat local admin password,write migrat script activ directori use powershell.thi script updat password local admin server store pleasant password server keepass first log keepass use window login credenti search server password need updat skip script said function start gener password password gener script want updat password server search exampl find attach server detail want chang password search server function use rest api method pps think make mistak syntax pass gener password ie invok rest method,document referenc say document input type show exampl json document probabl need someth assum pass alreadi acquir author token via untest though quit sure need key/valu pair bodi relev one need play around littl,scripting|password|login|credential|authorise,2017-12-19 11:51:21.773 UTC,Yes
14060179,mysql php security sql,safeguard multipl manual execut extern php script,applic call extern php file retriev submit inform sql databas request made visibl develop panel assum browser easili re-execut manual understand tri detect sourc request right go restrict manual invoc script main reason want prevent re-execut script either lead user give earn return previou state mani time want tri true method ensur queri within script intend execut execut first time never,never reli client-sid control php script check user valid whatev get ever code run calcul score first place updat code is. never leav server,security|safe|scripting|validate,2012-12-27 19:29:16.513 UTC,Yes
10769703,cas cookies java session-cookies,cas cooki java,tri authent java applic cas-auth-bas web understand far need handl cooki retriev cooki login-form html page send cooki valu cooki retriev post submit problem submit got success login html respons know castgt cooki need access servic web intranet specif addit browser login see two cooki jsession castgt domain provid login form anoth jession cooki domain provid intranet,need deal cooki directli long declar authenticationfilt validationfilt instanc web.xml file web applic abl interact cas server instanc cas java client api see configur ja-sig cas client java web.xml inform,cookie|authentication|login|validate,2012-05-26 20:55:32.677 UTC,Yes
31063200,java logout session-cookies spring-boot spring-security,spring-boot logout logoutsuccesshandl clear jsessionid cooki,use spring boot custom logout success handler want print custom messag login screen depend log secur configur follow logout post use csrf logoutsuccesshandl call jsessionid cooki header show delet come back 302 redirect correct url logoutsuccesshandl browser attempt load /signin?m=you%20have%20been%20logged%20out re-send old cooki supposedli delet 302 respons post /signout caus anoth re-direct sinc jsession cooki sent invalid lose pretti messag idea prevent behavior ensur browser delet cooki properli 302 redirect respons post request? test latest firefox chrome behavior,,cookie|security|login|csrf|signing|validate,2015-06-26 00:54:13.563 UTC,Yes
48685830,lets-encrypt nginx python uwsgi,unabl secur connect get configur nginx letsencrypt uwsgi,struggl issu unabl flask app secur connect whenev open site yellow exclam mark say connect secur seen everi tutori seem get happen anyon pleas help configur uwsgi command nginx configur yes certif valid,think issu face relat firefox. confirm root ca let encrypt https://letsencrypt.org/certificates/ let encrypt author x3 miss download root url add mozilla firefox suggest refer updat nginx conf...not http request forc take http www make chang app support without www,encrypt|security|certificate|validate|authorise,2018-02-08 12:43:11.04 UTC,Yes
6894593,asp.net c# http-post restful-authentication web-services,getrequest post argument queri string c,request argument current request post page? exampl extern applic post follow queri string username=abc&amp;password=123 mypage1.aspx mypage1 queri string post,btw post plain text password url danger,authentication|username|password|danger,2011-08-01 05:45:06.037 UTC,Yes
13140298,asp.net checksum javascript performance,perform javascript md5 checksum gener,tri creat .net web site allow user upload file along form data verifi file integr file upload client-sid javascript checksum pass compar server gener checksum javascript checksum gener perform go hold say 1-5 file upload 1 gbit/s? upload base project asp.net multipl file upload drag &amp drop progress bar use html5,,checksum|scripting|md5|integrity,2012-10-30 13:41:26.99 UTC,Yes
42181994,cryptography java random,random class java securerandom class,understand two main class java abl perform pseudorandom activit class class gener pseudorandom number howev class gener cryptographically-secur number even class class gener unpredict numbers? mani programm especi video game programm sole class class almost core method gener pseudorandom integ class seed long valu explan class oper faster class true? mani java programm prefer class class,number like reason random older exampl random random enough mani case much faster random produc result platform alway result seed default securerandom differ specifi strategi,crypt|security,2017-02-11 22:31:39.26 UTC,Yes
