postid,tags,title,question,answers,Related
4465,pr,Add toggle for displaying username in title,Add toggle for displaying username in title Closes Closes Signed off by Tomas Slusny,Updated to be reasonably implemented,Unsure
1527,issue,Parser performance: Excessive use of regular expressions to validate column names,Parser performance Excessive use of regular expressions to validate column names I m currently studying the H parser to compare it to the jOOQ parser to learn new tricks I ll create a few issues regarding performance problems I ve noticed in the H parser I m running this simple benchmark program that generates unique SQL strings to parse on each iteration to prevent caching effects Between ready and finished I connect to the JVM using JMC and JFR both tools are available for free to work with OpenJDK I ve noticed some heavy allocation originating almost exclusively from a single spot The JDK s regular expressions are well known for their not so efficient implementation Given the fact that the default implementation for the above method implements a trivial regular expression I strongly suggest replacing the default implementation by something that does not use regex but a simpler implementation In this case it seems that any non empty string is,N B This doesn t only affect allocation metrics but also CPU metrics See,Yes
2514,pr,Add LogLevel availability check to IMvxLog,Add LogLevel availability check to IMvxLog sparkles What kind of change does this PR introduce Bug fix feature docs update Improvement arrow heading down What is the current behavior Right now the assume that all implementations of will behave like when it comes to checking log levels an incorrect assumption new What is the new behavior if this is a feature change The underlying implementation of remains the same Relying on the current log provider to return a bool value indicating whether or not that log level is enabled The interface change however will make consumers more aware of how level checking should work boom Does this PR introduce a breaking change Nopity nope bug Recommendations for testing ping memo Links to relevant issues docs Closes thinking Checklist before submitting x All projects build x Follows style guide lines code style x Relevant documentation was updated docs style x Nuspec files were updated when applicable x Rebased onto current develop,,Unsure
731,pr,fix rest leak bug,fix rest leak bug Motivation thanks the context and why you re making that change To make others understand what is the problem you re trying to solve Modification Describe the idea and modifications you ve done Result Fixes If there is no issue then describe the changes introduced by this PR,see Report Merging into will decrease coverage by The diff coverage is Impacted file tree Impacted Coverage Complexity arrow down arrow down and Continue to review full report at Legend Click here to learn Powered by Last update Read the comment,Yes
2823,pr,Added new Azure Resource - azure_network_security_group,Added new Azure Resource azure network security group This addresses,thank you for the heads up just cleaned up the resource file spacing as per Rubocop suggestions sorry for the hold on this Azure is going through some major refactoring atm so these are in a limbo for a tad Thanks Jared Are you referring to the Azure related modules for InSpec or actual azure resources I pinged one of my friends on the Azure group and he didn t have any insight on major changes Sent from my S On May at AM Jared Quick wrote sorry for the hold on this Azure is going through some major refactoring atm so these are in a limbo for a tad You are receiving this because you were mentioned Reply to this email directly view it on GitHub or mute the thread It s the InSpec resources that represent the Azure resources are in flux Especially the underlying ways InSpec Train talks to Azure via RM SDK REST or VM SDK Thanks for the clarification Clinton makes sense Sent from my S On May at AM Clinton Wolfe wrote It s the InSpec resources that represent the Azure resources are in flux Especially the underlying ways InSpec Train talks to Azure via RM SDK REST or VM SDK You are receiving this because you were mentioned Reply to this email directly view it on GitHub or mute the thread Things have settled a bit with the Azure work there is now a resource that includes several new resources including a singular and plural NSG Looks like an implementation and integration test is there but no docs If you d care to open a PR on the resource pack with your docs that would be great Sorry about the mis coordination As there is now an NSG component in the resource pack and docs are imminent I m going to go ahead and close this,Yes
708,issue,Reference git url with hash (i.e. for multi repo PR's),Reference git url with hash i e for multi repo PR s Do you want to request a feature or report a bug I guess it s a but works in npm CLI What is the current behavior When I reference a GitHub URL with hash I get the error message If the current behavior is a bug please provide the steps to reproduce Create a PR in git repo Reference the commit s git URL in package json yarn install error needs package version What is the expected behavior We re using multiple git repositorys At times we need to reference a PR commit by hash for testing like This would help if it works which it does with the npm CLI Please mention your node js yarn and operating system version node js v yarn Windows,Referencing a branch with a hash works fine in yarn What doesn t work is the fact that you re specifying as the user which is an open issue at the workaround at specifying a source of will pull the branch and work fine Thank you that worked well,No
2634,issue,dnsjumper@2.1: hash check failed,dnsjumperhash check failed Download OK download completed Checking hash of DnsJumper zip ERROR Hash check failed App extras dnsjumper URL bytes B Expected c c ab e be a aa f f b aa e a c Actual cda b bae eba deaf fc b f baaf f f ae ea,Closed via,No
3890,pr,tls: prevent server from using dhe keys < 768,tls prevent server from using dhe keys As part of the fix for logjam node was upgraded to a level of openssl which rejects connections to servers that are using keys smaller than bits It is still possible however to create a server that uses a smaller key size and and older client may be able to connect to it This PR moves us to a secure by default stance on the server side as well preventing the creation of a server using a dhe key size less than This can be overridden with the command line option which is also added It is derived was landed in later io js node versions but makes the limit This PR uses the smaller limit in order to meet the recomendations for logjam while matching was was done on the client side in openssl to minimize the potential impacton users,can you two take a look at this PR LGTM Ran test suite locally failing but unrelated test in make test addons ran cleanly This is a patch that prevents a security misconfiguration IMO that makes it not a Technically it is semver major but it is one that should have minimal impact The introduction of the new command line switch to revert to the prior behavior is also significant That said this would land in v x which is in a weird place in semver land anyway LGTM I m not really happy about the commandline argument here and I think I d prefer to make it something you can t change than introduce another API we have to care about into the future commandline argument as an API If we must have the argument then perhaps something more specific that doesn t use the term revert Also I d vote for semver major we can argue this is a bug or misconfiguration but in the spirit of the conservative approach to semver we ve been taking we should hold off till the next major And cc The only setups this is going to break is those that have been dangerously misconfigured And they still have a way to get back the old behaviour It looks like a sane thing to do An alternative non breaking approach would be to reduce this to a big warning instead of an Error But given that this part of code is generally one of the first things that the server does anyone should notice the error immediately after the version update on the test setup note that this does not print the in the output or document it in any way The intent would be for it to be supported strictly in the LTS branches and not something that would be supported going forward The only place it would be documented is in the release notes as an indication that if this change breaks you here s the workaround we re providing which by the way is only supported in these specific LTS lines I m good with as a name tho oh I see this is for we are doing the right thing in v I take it then correct me if I m wrong but this fix would end up needing to go out in v x also unfortunately In v x it would be a semver minor bump I leave the decision of a new option name to native English speakers I have no preference I have two comments here Please add a rule of dh pem to Makefile as in There are not descriptions regarding to the new option It should be noted in src node cc doc node and doc api tls markdown It s already in v x with bits limit at Do not be worry Note this is at least because as mentioned recently downgrading while using this option will cause an error ah that s right so hard to keep track sometimes I added the requested change to the Makefile for the test fixtures In terms of documenting this the discussion I had with James was that we d prefer not to add to the regular documentation We don t want anybody to use it and it will not be in any later release Instead we planned to just document it in the migration notes so that people are aware of it if they need to use it when upgrading but otherwise are less likely to use it I think Jame s comment above echo s the same approach Does that make sense to you or do you still think we need to add it to printHelp and tls markdown updated to address wording comments and change name of the option I m okay for no doc Someone in the future would have the same question as mine so please write its description in the commit log Otherwise LGTM after CI is fine Updated based on shigeki s comment to add to the commit comment and squashed Changes LGTM Disregard my previous two comments keep forgetting this is v CI run here CI run is green on all but windows Looking at earlier failures most of them are pre existing The only one that worries me a bit is not ok test tls ticket cluster js which failed times and which I don t see in the previous run going to start another CI run to see how many times it recreates Don t think its related as I d expect any failure to be but more data can t hurt If that continues to fail may want to pass it through the new stress test job in CI to see if it s flaky From test keyFile join common fixturesDir agent key var certFile join common fixturesDir agent crt From RSA PRIVATE KEY MIIEowIBAAKCAQEAz LXZOjcQCJq ZKUFabj oo ex XsBcFqtBThjjTw CVEV So looks to be an RSA key don t see how that could be related to limiting DHE key size No recreates in second run only failures commonly seen on windows so seems unrelated I think we are good to go CI run wise can we get one more review from you on this before landing I m not entirely comfortable with squeezing this in to v cause of the breaking nature of it but I ll throw in an lgtm for the sake of secure by default and the low likelihood of anyone being impacted test tls ticket cluster js has nothing to do with DHE key exchange Probably it was a timing issue in process fork and die FYI Google is planning to deprecate DHE in Chrome because they consider that bits DHE has not enough security and moving to ECDHE is better Intent to deprecate DHE based cipher suites noted I have the same concerns but overall LGTM can you go ahead and get this landed in I m not happy with adding another seldom used command line switch but if you go ahead please at add it to and the print so it s properly documented not documenting it is intentional This switch would only exist in v and is only for people who absolutely need it There is no intent to support it in any other version The documentation would be the release notes By not putting it into any other documentation we are not committing to support it beyond the v branch On Nov PM silverwind notificationswrote I m not happy with adding another seldom used command line switch but if you go ahead please at add it to the man page and the help print so it s properly documented Reply to this email directly or view it on GitHub alright carry on I was out Friday afternoon so just see the comment from James to land will do that now landed caa b d d eeb d daa cef fa ed f,Yes
2319,issue,Call pm2.connect twice cause memory leak,Call pm connect twice cause memory leak file pm connect twice memory leak would happen that s because cb is referenced by event which never trigged so that s the design or bug if sth wrong please tell me,This function has been rewriten in pm v this version should be leak free,Yes
48774,pr,[7.x] Validate monitoring username at parse time,x Validate monitoring username at parse time Provides parse time validation for AUTH USERNAME SETTING as described in Backport of,run elasticsearch ci update branch,Yes
265,issue,[C++] Is it possible to run the C++ version in a work-stealing executor?,C Is it possible to run the C version in a work stealing executor Hi First of all very impressive work I see that in the C version starting a new session returns a client object that can be used from async tasks but the C version returns only a GUID Are C sessions inherently pinned to threads Is there any way to use the C version of FASTER from a work stealing async await like context,Yes the C version uses sessions pinned to threads We added the unpinned session feature in C due to the need of a majority of async use cases there unlike C where most use cases find thread pinning to be sufficient,Yes
3268,pr,[UWP] store alert to local variable for thread safety,UWP store alert to local variable for thread safety Description of Change The while loop on s currentAlert wasn t thread safe so it could be set to null between the check and the await which meant it would be awaiting on null and throw an exception Added text to description but the clicking to cause the issue has to happen too quickly for the UI test to detect Issues Resolved fixes Platforms Affected UWP PR Checklist Has automated tests X Rebased on top of the target branch at time of PR X Changes adhere to coding standard,build uitests,Yes
1921,issue,hibernate.hbm2ddl.auto=create bypasses the FILE_LOCK=file mechanism,hibernate hbm ddl auto create bypasses the FILE LOCK file mechanism We are using the h tested both and driver in conjunction with Hibernate in a cluster environment with nodes and a shared network storage where the h files reside The database is configured with and For our test purposes the port is blocked by the firewall preventing proper communication between them Although node A has a lock in the database and the lock file exists node B is able to initialize Hibernate with and steals the lock from node A which then steals it back in a back and forth fashion Also querying the database from each node produces different results even on the same table I am not sure if the database itself is corrupted or if each node has cached the DB file in some way however the problem is that Expected behavior node B should properly identify that the DB is locked and throw a type of error due to inability to communicate with the DB master node A in this case Actual behavior node B is able to initialize itself and start working by recreating the DB schema and destroying all data,what do the respect trace logs look like Actually it has nothing to do with hibernate ddl etc I just enabled trace logs and unfortunately the watchdog mechanism is not properly synchronized with the network file system In the problematic case we see that the challenge was not reverted on time seconds Maybe the network file protocol we use Samba fails to commit fast enough WORKS PROPERLY database opening storage AnonymousTemp h test test build fileLock load server method file id ac c b a b e deaddc f c ce e fileLock load server method file id ac c b a b e deaddc f c ce e fileLock save id ac d bcfae dc a c d ab ca method file fileLock load server method file id ac c b a b e deaddc f c ce e fileLock load server method file id ac c b a b e deaddc f c ce e error while configuring hibernate Unable to create requested service org hibernate engine jdbc env spi JdbcEnvironment PROBLEMATIC database opening storage AnonymousTemp h test test build fileLock load server method file id ac c b a b e deaddc f c ce e fileLock load server method file id ac c b a b e deaddc f c ce e fileLock save id ac fd df aec fdafeaa f f f dc e method file fileLock load method file id ac fd df aec fdafeaa f f f dc e fileLock save id ac fd df aec fdafeaa f f f dc e method file fileLock load method file id ac fd df aec fdafeaa f f f dc e fileLock save server hostName E PC id ac fd df aec fdafeaa f f f dc e method file These logs were produced running the same code twice one after the other while another process in a VM has the DB locked H has multiple locking methods for specific use cases For example I use in database URLs when databases are used inside OpenVZ containers because the default locking method does not work with their simfs file system You might have the same problem with Is there a way to change the watchdog timer from second to something else It is under the Constants LOCK SLEEP static final field EDIT Reflection doesn t work because the compiler inlines the value wherever it is used Network filesystems are always tricky they tend to do weird stuff like this You can build from source if you want to experiment,Yes
494,issue,Feature request: Add Streebog (aka. GOST R 34.11-2012) hash algorithm,Feature request Add Streebog aka GOST R hash algorithm Summary Would be helpful to add GOST R,Implemented in,Unsure
7260,issue,Slice support for FileRegion in JNI transports,Slice support for FileRegion in JNI transports Recently support was added to file region for and We should do the same for and There are some challenges related to how and are handled in these JNI transports There are assumptions made about the type of made in order to get the integer file descriptor There are also assumptions made about and its internals in JNI code There is some support for types other than via but this doesn t take advantage of We should investigate alternative approaches which may help unify the two approaches in most cases and remove assumptions of types in JNI For example we should investigate moving extracting the file s FD and the reflection involved up to the java layer creating a new interface for extensibility to give access to the file s FD and pass the file s FD and other necessary arguments directly to JNI,FYI Thanks nice writing up I think for FileChannelBasedFileRegion we an try to get the FileChannel and then the FD and then pass it to JNI,Unsure
318,issue,Add ability to cycle through cassettes,Add ability to cycle through cassettes It would be excellent if VCR had a method that when passed an array would cycle through them for each request Admittedly this is an edge case but I m trying to test long running CoffeeScript polling routines that change page content when an object s state changes This state change occurs outside of the Rails application and I ve got corresponding cassettes for each state I could test the Javascript in isolation and stub the Rails API but having VCR cycle through cassettes would allow me to do a full stack test ensuring that the external state change propagates through the Rails app and into the view,Anything preventing you from using VCR use cassette in a loop I ve actually gotten this scenario to work At some point the ajax poller would return a error but rescheduling the polling regardless of the return code lead to it eventually succeeding So in the end having the ajax be more resilient to server errors fixed this,Unsure
74,issue,获取vuex中的username失败,vuex username username mapGetters UserMenu mapGetters methods computed,,Unsure
1161,pr,Add Elliptic Curve verification support for spring-security-jwt,Add Elliptic Curve verification support for spring security jwt The implementation is inspired by the RSAVerifier and uses code from org apache xml security algorithms implementations SignatureECDSA to transcode from JWK to JCE compatible signatures It is meant to be used by the patch to which introduces support for Elliptic Curve based JWK keys This PR is one of the two PRs to deliver,I addressed the comments you had Regarding the default algorithm I don t have any preference Thanks I ll take a look at this shortly Thanks for the PR I added some polish in a separate commit This is now in master,Yes
1756,pr,security: upgrade jackson to avoid security vulnerabilities,security upgrade jackson to avoid security vulnerabilities Describe what this PR did This PR upgraded jackson version to to avoid CVE ReleaseNote Patch databind issue Do we need to upgrade to latest version Does this pull request fix one issue Why don t you add test cases unit test integration test Describe how to verify it Special notes for reviews,Report Merging into will decrease coverage by The diff coverage is Impacted file tree Impacted Coverage Complexity Continue to review full report at Legend Click here to learn Powered by Last update Read the comment,Yes
2779,issue,Highlight players who can attack you in the wilderness,Highlight players who can attack you in the wilderness This would help a ton when runecrafting,And when pking I second this Duplicate of,No
7158,issue,JsonPatchDocument.ApplyTo<T> should validate target model,JsonPatchDocument ApplyTo T should validate target model When is called on model which is provided as a input parameter and the model isn t valid is generated and provided as a body output by all operations with status code In case above when validation fails because is null returns following response Now implementation of Method with The output is different The reason for this is that doesn t invoke validation on the target model which should be expected behavior Because of this need to be called explicitly and object must be provided as an input for object which leads to inconsistent output Need to notice when you don t provide you don t get any validation details errors,Seems to be relevant Same problem here I m also using overload and leads to unexpected behavior Thanks for contacting us free to send a PR for this and we ll happily consider it As this will potentially be a breaking change this should be backed by some compatibility option,Yes
14593,issue,Style changes for System.Security.Cryptography.Encryption,Style changes for System Security Cryptography Encryption Some style only comments were given in pull request best facilitate the code round tripping through the mirror this issue was created to do the cleanup after merging to master x Reduce the configuration matrix down to just Debug and Release since it has no OS specific code x CryptoStream has some redundant initializers which should be removed x CryptoStream has some private fields which are PascalCased instead of camelCased x CryptoStream has a trivial overload why is it there maybe just that adding an overload later is a recompile required change,,Yes
2538,issue,Unhandled exception: UnicodeEncodeError: 'latin-1' codec can't encode characters,Unhandled exception UnicodeEncodeError latin codec can t encode characters Step Please describe your environment ZeroNet version r Operating system Raspbian Web browser FF Step Describe the problem debug log shows multiple errors during startup INFO ConnServer Server port opened ipv False ipv False ERROR Unhandled exception UnicodeEncodeError latin codec can t encode characters in position ordinal not in range in greenlet py line Bigfile BigfilePlugin py line Site py line FilePack FilePackPlugin py line SiteStorage py line genericpath py line it was added not many seconds before i loaded plugins page which does not list any plugins then after maybe one minute the plugin list appeared,For what you using latin Use utf Change it back how it was and it will work It s an error from an internal Python module I m afraid we can t easily do this,Yes
306,issue,rack-ssl 1.3.4 solves CVE-2014-2538,rack ssl solves CVE This has been fixed avoid according to we get the advisory yml for that updated,Oh somehow I was linked to an old commit of that file I see it is correct now,Yes
8612,pr,FIX: category routes model params should decode their URL parts,FIX category routes model params should decode their URL parts Ember s route star globbing does not uri decode by default This is problematic for subcategory globs with encoded URL site settings enabled Subcategories with encoded URLs will without this decode I found this explicitly explains that globbing does not decode automatically,You ve signed the CLA featheredtoast Thank you This pull request is ready for review per Daniel I m instead implementing this in findBySlugPathWithID slash and splitting is already handled in there,Yes
1743,issue,Feature request: x-www-form-urlencoded POSTs should be easier to do,Feature request x www form urlencoded POSTs should be easier to do It shouldn t require a to get the behavior that nearly every web service on the internet expects Angular already depends on a subset of jQuery and jQuery does this behavior by default which means using the service is a bit of a downgrade I expect most users will get frustrated and ditch it before they stumble across this post on the mailing list At the very least the content of this post should be included in the documentation There was an issue for this before but it got closed when xhr was renamed to That didn t resolve the issue,From I have to work with a backend PHP which does not automatically parse JSON and which I cannot change I would like angular to automatically urlencode my POST data when the is See this thread where the recommended solution is to use jQuery s Volunteer I am wondering though as to whether I should just copy param into or perhaps jqLite js if jqLite js should be used for any subset of jQuery code or if there is some wiser way to url encode an object like the solution proposed here Retracting this is not a problem with AngularJS I don t know what backend you are using but in PHP you can simply data json decode file get contents php input data becomes an object and you can access values with def a pain in the back end When you POST a form your browser makes a form encoded POST payload This is the default behavior and accordingly every web framework I ve ever encountered expects this You can also construct form encoded payloads with jQuery or even with the FormData in javascript Because this method of POST requests is so ubiquitous most application servers I ve seem implement it for all requests It doesn t make a lot of sense to implement views differently just because they are going to be accessed by JavaScript and besides that precludes the ability to interact with them via forms Allowing these two methods of access at once is convenient Also what if you re trying to access a third party server Then you don t have the choice to change the POST encoding method You asked what framework I m using I m using Pyramid In Pyramid the url router can actually decide which view to select based on form encoded fields in the POST data see request params for Unless I form encode my POST I can t use this helpful feature I don t know why Angular would break from the standard here I don t think it is a standard as much as a convention Conventionally by default when preforming an AJAX request the data is sent form encoded AngularJS is different in more ways then this in it s design and patterns On M you need to jump through a few hoops to get it to decode properly using Mvc Nancy Webapi I feel this is more of a problem with the server than the client Because the body is represented as a stream I end up just reading that string to a dynamic of some sorts or a strong type would even work That being said providing a simple switch on the client would avoid having people spend time learning about deserialization headers etc Disregarding what is standard and what is not if it s a simple implementation and the user just have to toggle a bool to opt in or opt out that would be ideal i think Going to close this one as a duplicate of to centralise the whole discussion in one place Why close the thread that was opened first and has more discussion oh sorry actually both issues have some discussion and I wanted to centralise it one place so we can act on this I ve closed this one since started to have discussion on the actual discussion But I don t mind it either way we can re open this once and close the other For me the most important part is to draft a solution and act on it,Unsure
4518,issue,How to inject Amazon.S3.IAmazonS3 to Unit test,How to inject Amazon S IAmazonS to Unit test In Testmodules i have some code How to inject Amazon S IAmazonS this file,You should refer to the documentation for Amazon S IAmazonS Then use the Abp dependency injection Let me describe situation i injected AmazonS in UserAppService and use this normally In test file UserAppService Tests i inject UserAppService and call some function of UserAppService I run test then get error Here is my UserAppService Tests file Why the UserAppService Tests can t get AmazonS although UserAppService injected it Do i need add some code in TestModule file hi I guess you added IAmazonS to the dependency injection container in the web tier If you need to use it in unit tests you also need to add IAmazonS to the dependency injection container Or create an IAmazonS implementation in unit tests using a tool like nsubstitute Hi I want to use real library so i don t want to use nsubstitute If you need to use it in unit tests you also need to add IAmazonS to the dependency injection container Did you mean add package AmazonS from NuGet I add package and retest but get error I guess you added IAmazonS to the dependency injection container in the web tier I m using Net Core x Here is my UserAppService file Have you written the relevant code in Such as What is the document link for the Amazon S IAmazonS component Hi The document link i add some code in startup cs So for unit test what need to do adding it here Hi I can add to ServiceCollectionRegistrar But i can t add How to add config for unit test in ServiceCollectionRegistrar Here is my startup cs file You can refer to the source code manually new see,Unsure
183,issue,When will the encoder support structured append?,When will the encoder support structured append I see that there is some support for structured append in the decoder and reader but not encoder Is this planned,Questions go on the mailing list There is no roadmap and would not assume anything is being worked on You can propose a patch though I find structured append hardly ever used but it is a real optional part of the QR spec A clean patch that doesn t complicate the existing code much could be handy Alex Dupre s patch at included structured append encoding support See also,Unsure
5612,pr,docs(custom-audit): update custom-audit to 3.0.0 api,docs custom audit update custom audit to api Summary Update custom audit example as latest version changed the api so custom audit is currently broken,my man thanks for hooking this up D,Unsure
5622,issue,Can not find compilation library location for package 'Microsoft.AspNetCore.Antiforgery',Can not find compilation library location for package Microsoft AspNetCore Antiforgery Hi I am developing web app with ASP NET Core My application worked with IIS Express But when I was deployed app to IIS I got this error How can I resolve this problem project json Startup cs,Which error Hi Frank I am getting the error Can not find compilation library location for package Microsoft AspNetCore Antiforgery Also I was removed preserveCompilationContext from project json but I got One or more compilation references are missing Possible causes include a missing preserveCompilationContext property under buildOptions in the application s project json error message May be something is missing on the server Try to deploy to another server for instance on a free Azure account can you show a full screenshot of exactly the error you re getting Resolved issue by distributing to another server Ok,Yes
6281,issue,Reader: Some gravatar image urls contain encoded xml entities causing a crash,Reader Some gravatar image urls contain encoded xml entities causing a crash Props for the find in this post Gravatar URL currently contain encoded xml entities which results in an unexpected being returned when the url is used to make an NSURL We need to sanitize these and properly handle the scenario when creating a,,Yes
22982,pr,Implement JWT signature validation with JWKs [master],Implement JWT signature validation with JWKs master Purpose This PR provide the support to validate the inbound provided JWT against the property configured in JWT header and the public key generated with the JWKs attributes related to the provided property The related discussions and the requirements can be found at GitHub issues Fixes Fixes Fixes Approach As of now we can validate the signature of JWT with the use of With JWKs support the signature of a JWT can be validated using either or The is used to call the JWKs endpoint exposed by the JWT issuer This endpoint contains the public keys in the JWK format As a sample JWKs endpoint exposed by GoogleAPIs is as follows With the introduction of the updated record for the is as follows When validating the inbound provided JWT if the was configured with the kid property should be there in the header of the JWT Otherwise validation will be failed by returning an error To verify the signature the RSA public key which is built using the JWK parameters modulus and exponent is used In order to do that the PR introduced a new API Samples Sample program for validating a provided JWT with the use of JWKs endpoint Check List x Read the Contributing Updated Change Log Checked Tooling Support Added necessary tests Unit Tests Spec Conformance Tests x Integration Tests Ballerina By Example Tests Increased Test Coverage Added necessary documentation API documentation Module documentation in Module md files Ballerina By Examples,,Yes
