id,a_reputation,creationdate
"21108","4284","2008-09-23 13:21:48"
"21348","5790","2008-09-23 20:00:29"
"21634","17763","2008-09-24 12:16:13"
"21926","105308","2008-09-24 22:46:07"
"22231","10571","2008-09-25 15:52:20"
"22595","46329","2008-09-26 08:28:44"
"22982","42375","2008-09-27 12:26:49"
"23118","22262","2008-09-28 01:59:27"
"23571","3162","2008-09-29 19:02:10"
"23760","10353","2008-09-30 12:05:15"
"23786","8382","2008-09-30 13:48:42"
"23969","188","2008-09-30 22:34:14"
"24108","13600","2008-10-01 12:19:43"
"24495","1023","2008-10-02 13:24:03"
"24874","249384","2008-10-03 15:02:28"
"24949","15214","2008-10-03 18:47:13"
"25343","5553","2008-10-05 22:10:13"
"25429","1071","2008-10-06 09:20:22"
"25812","6802","2008-10-07 13:18:10"
"26334","30437","2008-10-09 00:44:28"
"26428","283294","2008-10-09 08:55:15"
"26496","6221","2008-10-09 13:39:43"
"26742","20871","2008-10-10 08:03:41"
"27190","1687","2008-10-12 10:31:58"
"27328","38717","2008-10-13 06:22:10"
"27355","2769","2008-10-13 08:56:04"
"27358","35982","2008-10-13 09:24:59"
"27439","97096","2008-10-13 14:32:21"
"27507","4890","2008-10-13 16:13:17"
"27657","16395","2008-10-13 22:59:46"
"27658","6619","2008-10-13 23:03:33"
"28190","6629","2008-10-15 10:26:04"
"29156","9479","2008-10-18 01:50:08"
"29690","2156","2008-10-20 16:51:25"
"30763","1996","2008-10-23 11:53:45"
"31379","3120","2008-10-25 04:03:43"
"31479","1796","2008-10-25 19:25:47"
"31506","19932","2008-10-25 21:42:44"
"31662","20769","2008-10-26 23:55:27"
"31828","5229","2008-10-27 16:26:05"
"32032","3058","2008-10-28 11:09:47"
"32043","20231","2008-10-28 12:11:23"
"32834","27050","2008-10-30 17:00:00"
"33167","1204","2008-10-31 17:59:46"
"34102","18896","2008-11-04 12:01:14"
"35069","1732","2008-11-06 12:52:16"
"37856","5904","2008-11-15 02:11:19"
"38896","49692","2008-11-19 11:36:32"
"39057","24900","2008-11-19 18:46:06"
"39371","14103","2008-11-20 16:12:41"
"40013","30018","2008-11-23 02:27:12"
"40064","16402","2008-11-23 12:29:43"
"40581","12863","2008-11-25 10:33:07"
"41423","30346","2008-11-27 16:46:54"
"41576","10226","2008-11-28 11:45:53"
"42446","3136","2008-12-02 14:09:01"
"42551","877","2008-12-02 18:01:23"
"42962","3888","2008-12-03 20:00:28"
"43108","832","2008-12-04 06:24:58"
"43217","16625","2008-12-04 14:10:47"
"43832","59319","2008-12-05 22:19:06"
"44256","481","2008-12-08 10:43:51"
"44523","26963","2008-12-09 07:56:57"
"45108","3566","2008-12-10 19:29:42"
"45204","1864","2008-12-11 01:19:08"
"45375","203217","2008-12-11 15:06:50"
"45531","16594","2008-12-11 22:17:06"
"45959","3076","2008-12-13 11:53:50"
"46058","251223","2008-12-14 01:08:47"
"46698","275","2008-12-16 15:10:43"
"46779","361","2008-12-16 18:50:34"
"46871","4732","2008-12-17 00:20:21"
"47190","30410","2008-12-17 19:23:09"
"47281","48549","2008-12-18 03:16:49"
"48340","3093","2008-12-22 12:27:50"
"48382","21427","2008-12-22 15:24:36"
"49489","16194","2008-12-28 10:00:39"
"49573","7204","2008-12-28 17:02:47"
"49885","17484","2008-12-29 16:25:27"
"49934","2384","2008-12-29 19:14:10"
"50750","3749","2009-01-01 21:08:25"
"50777","3745","2009-01-02 01:16:53"
"51754","4271","2009-01-05 19:05:19"
"52095","365","2009-01-06 16:07:03"
"52499","9654","2009-01-07 16:44:54"
"52607","1064","2009-01-07 21:32:01"
"52834","9085","2009-01-08 09:26:52"
"52954","15618","2009-01-08 15:16:14"
"53300","6554","2009-01-09 11:44:24"
"53943","9256","2009-01-11 19:04:00"
"54026","11089","2009-01-12 01:47:05"
"54396","3636","2008-11-05 15:54:31"
"55044","1650","2009-01-14 15:32:22"
"55808","11186","2009-01-16 11:30:01"
"55921","705","2009-01-16 17:14:33"
"55925","45445","2009-01-16 17:31:12"
"56424","472","2009-01-18 14:20:15"
"57091","7827","2009-01-20 12:58:20"
"57421","4893","2009-01-21 08:02:02"
"57458","41306","2009-01-21 09:50:28"
"57752","49712","2009-01-22 01:27:01"
"58530","3474","2009-01-24 04:09:08"
"58803","94516","2009-01-25 15:58:26"
"58814","499","2009-01-25 17:05:22"
"59202","10380","2009-01-27 03:11:34"
"59241","3133","2009-01-27 08:09:09"
"59541","84569","2009-01-27 21:56:54"
"60234","2578","2009-01-29 15:26:00"
"62425","4317","2009-02-04 13:58:25"
"63051","218190","2009-02-05 20:53:34"
"63386","5773","2009-02-06 16:17:05"
"63436","9587","2009-02-06 17:58:05"
"64833","8724","2009-02-10 23:40:29"
"65338","3795","2009-02-11 23:03:25"
"65358","506295","2009-02-12 00:21:11"
"65464","32920","2009-02-12 09:22:01"
"65501","9229","2009-02-12 11:46:31"
"65678","9818","2009-02-12 17:58:46"
"66207","2930","2009-02-13 19:02:24"
"67332","37326","2009-02-17 12:12:16"
"67417","1332","2009-02-17 15:11:42"
"67707","5995","2009-02-18 05:01:33"
"68105","30254","2009-02-18 22:50:24"
"69340","9137","2009-02-21 16:00:52"
"69636","20680","2009-02-22 18:35:54"
"69684","33591","2009-02-22 22:01:23"
"69785","979","2009-02-23 07:26:48"
"69875","17861","2009-02-23 12:51:22"
"70015","3965","2009-02-23 19:21:18"
"70235","1606","2009-02-24 06:43:33"
"71354","3103","2009-02-26 12:03:19"
"71410","3768","2009-02-26 15:01:11"
"71480","3642","2009-02-26 17:14:05"
"71690","7403","2009-02-27 02:52:03"
"72437","50507","2009-03-01 11:00:43"
"72673","30862","2009-03-02 06:29:31"
"72676","1608","2008-12-15 20:50:20"
"72788","3118","2009-03-02 12:35:01"
"72882","11558","2009-03-02 17:23:45"
"72894","915","2009-03-02 17:55:51"
"73299","8595","2009-03-03 17:01:29"
"74359","14050","2009-03-05 17:59:29"
"75836","4634","2009-03-09 21:10:27"
"76310","20581","2009-03-10 19:00:19"
"77542","9470","2009-03-13 04:13:15"
"77939","12112","2009-03-13 22:56:17"
"78182","59508","2009-03-15 02:25:46"
"78530","632","2009-03-16 11:08:22"
"78743","3642","2009-03-16 20:03:30"
"79163","1293","2009-03-17 19:06:01"
"79408","2631","2009-03-18 09:44:01"
"79450","5475","2009-03-18 11:33:53"
"80274","112860","2009-03-20 00:41:25"
"80368","12931","2009-03-20 07:46:45"
"80761","9810","2009-03-21 01:35:25"
"80901","35129","2009-03-21 17:12:22"
"80906","18487","2009-03-21 17:37:37"
"81108","7600","2009-03-22 16:46:48"
"81112","1284","2009-03-22 17:04:30"
"81193","9248","2009-03-23 00:02:48"
"81216","7312","2009-03-23 02:00:55"
"81409","1806","2009-03-23 12:55:34"
"81410","3035","2009-03-23 13:00:12"
"81574","190","2009-03-23 18:36:35"
"82460","11521","2009-03-25 09:10:18"
"82511","51357","2009-03-25 10:52:04"
"82804","27026","2009-03-25 20:31:38"
"82865","53039","2009-03-25 23:10:38"
"82956","954","2009-03-26 05:46:19"
"82991","657","2009-03-26 08:15:07"
"83047","4322","2009-03-26 10:46:00"
"83509","3202","2009-03-27 07:25:53"
"84091","1892","2009-03-28 19:52:30"
"84290","6734","2009-03-29 15:32:01"
"84292","12387","2009-03-29 15:41:08"
"84889","107346","2009-03-31 00:20:13"
"85306","25505","2009-03-31 19:37:02"
"85385","16462","2009-03-31 22:07:03"
"85863","10795","2009-04-01 20:02:37"
"86622","43908","2009-04-03 07:57:27"
"87150","336","2009-04-04 19:40:19"
"87197","20788","2009-04-05 01:50:34"
"87408","10752","2009-04-05 22:38:50"
"87596","9806","2009-04-06 12:34:34"
"87942","4729","2009-04-07 05:46:25"
"88076","21066","2009-04-07 11:53:08"
"88448","2777","2009-04-08 06:17:24"
"89435","6812","2009-04-10 12:34:25"
"89586","20781","2009-04-10 20:04:09"
"90203","5731","2009-04-13 11:38:07"
"90743","705","2009-04-14 16:29:21"
"91358","8653","2009-04-15 22:38:48"
"92578","835","2009-04-18 19:26:01"
"92764","9400","2009-04-19 13:54:21"
"93065","1208","2009-04-20 09:32:21"
"93464","119","2009-04-20 22:57:59"
"93960","12753","2009-04-21 18:40:37"
"93979","10811","2009-04-21 19:44:55"
"94691","5195","2009-04-23 00:20:26"
"94841","464","2009-04-23 08:28:07"
"95103","3677","2009-04-23 18:17:10"
"95122","18256","2009-04-23 18:52:32"
"95157","7407","2009-04-23 20:02:59"
"95462","12424","2009-04-24 12:32:10"
"95711","973","2009-04-24 19:49:38"
"95869","9767","2009-04-25 06:35:05"
"95999","453","2009-04-25 17:17:47"
"96588","44985","2009-04-27 14:30:52"
"97238","3954","2009-04-28 17:30:13"
"97641","9041","2009-04-29 11:27:11"
"98107","1299","2009-04-29 23:41:28"
"98264","9014","2009-04-30 05:22:38"
"98530","30043","2009-04-30 13:00:50"
"98632","5387","2009-04-30 14:55:01"
"99816","779","2009-05-02 10:59:10"
"99901","2661","2009-05-02 16:22:31"
"100836","6432","2009-05-04 12:07:20"
"100957","27341","2009-05-04 15:44:36"
"101007","3584","2009-05-04 16:51:41"
"101031","2286","2009-03-09 15:01:54"
"101087","18646","2009-05-04 19:06:00"
"101095","16348","2009-05-04 19:18:50"
"102009","2780","2009-05-06 04:53:07"
"102483","4078","2009-05-06 20:57:58"
"102550","564","2009-05-06 23:39:46"
"103081","21264","2009-05-07 18:39:32"
"103832","1494","2009-05-08 21:11:55"
"105492","4361","2009-05-12 16:38:14"
"105904","21359","2009-05-13 02:25:04"
"106560","2039","2009-05-13 19:02:59"
"106671","75310","2009-05-13 21:30:42"
"106672","7023","2009-05-13 21:30:58"
"107158","24542","2009-05-14 15:32:16"
"107718","5262","2009-05-15 14:10:51"
"109114","968","2009-05-19 02:13:03"
"109138","1921","2009-05-19 03:29:26"
"109618","27198","2009-05-19 21:13:08"
"109914","1158","2009-05-20 13:11:01"
"110478","7902","2009-05-21 12:17:14"
"110488","12096","2009-05-21 12:37:01"
"111219","3217","2009-05-22 17:57:13"
"111533","710","2009-05-23 15:08:36"
"111988","48231","2009-05-25 07:43:41"
"111991","7542","2009-05-25 07:59:07"
"112041","8438","2009-05-25 10:45:39"
"112152","7904","2009-05-25 15:03:10"
"112222","16445","2009-05-25 18:36:48"
"112870","7490","2009-05-27 02:59:16"
"112976","17470","2009-05-27 08:05:49"
"113252","3153","2009-05-27 15:41:13"
"113313","142","2009-05-27 17:36:58"
"113470","1150","2009-05-10 07:35:23"
"113632","40182","2009-05-28 09:16:22"
"113734","5876","2009-05-28 13:02:05"
"114226","21660","2009-05-29 10:36:47"
"114340","5726","2009-05-29 14:44:40"
"114900","9239","2009-05-30 20:42:37"
"114996","19938","2009-05-31 03:36:55"
"115563","6630","2009-06-01 17:39:30"
"115835","16536","2009-06-02 07:50:42"
"115845","69275","2009-06-02 08:04:59"
"115988","8029","2009-06-02 13:11:17"
"116249","15985","2009-06-02 21:46:23"
"116524","450","2009-06-03 11:18:20"
"116639","41312","2009-06-03 14:37:48"
"118803","6207","2009-06-07 12:56:51"
"119159","31213","2009-06-08 11:13:19"
"119179","2463","2009-06-08 11:55:27"
"119365","13678","2009-06-08 17:49:13"
"119592","16733","2009-06-09 05:09:12"
"119963","393519","2009-06-09 16:22:21"
"120955","129776","2009-06-10 23:11:29"
"121260","15377","2009-06-11 11:52:23"
"121300","510","2009-06-11 13:08:18"
"121712","443","2009-06-12 00:47:30"
"121828","11630","2009-06-12 07:26:57"
"122011","762","2009-06-12 13:41:20"
"122207","18692","2009-06-12 18:35:11"
"122718","158717","2009-06-14 12:30:09"
"123594","2574","2009-06-16 09:33:43"
"123749","2405","2009-06-16 14:57:23"
"123927","23528","2009-06-16 20:42:39"
"124426","5963","2009-06-17 15:21:21"
"125121","1047","2009-06-18 14:01:58"
"125604","126","2009-06-19 08:34:04"
"125825","10613","2009-06-19 15:51:52"
"125965","313","2009-06-19 20:43:40"
"126346","2232","2009-06-21 00:06:01"
"126414","2796","2009-06-21 07:43:52"
"126978","897","2009-06-22 14:37:26"
"126992","913","2009-06-22 14:51:02"
"127035","15351","2009-06-22 16:04:51"
"127059","56973","2009-06-22 16:40:16"
"127479","50793","2009-06-23 10:14:19"
"127928","4671","2009-06-23 23:50:48"
"128347","1454","2009-06-24 16:59:54"
"128585","17959","2009-06-25 03:24:13"
"128645","38513","2009-05-15 18:39:22"
"128761","2626","2009-06-25 10:55:00"
"128812","19442","2009-06-25 12:50:16"
"129805","36341","2009-06-27 11:51:28"
"130541","1517","2009-06-29 16:34:02"
"130659","19320","2009-06-29 20:21:23"
"131024","5958","2009-06-30 12:08:12"
"131099","679","2009-06-30 13:55:18"
"131640","41946","2009-07-01 11:19:16"
"131929","18092","2009-07-01 19:59:31"
"132270","6962","2009-07-02 12:51:32"
"132377","3138","2009-07-02 16:32:59"
"133343","115","2009-07-05 11:37:33"
"133802","117874","2009-07-06 17:19:02"
"134176","8195","2009-07-07 10:57:12"
"134252","22483","2009-07-07 13:12:48"
"134725","20694","2009-07-08 06:21:29"
"134848","5806","2009-07-08 10:51:47"
"134937","6148","2009-07-08 13:25:54"
"135078","11439","2009-07-08 16:27:51"
"135294","10819","2009-07-08 22:26:45"
"135318","31538","2009-07-08 23:24:01"
"135946","33598","2009-07-09 22:11:37"
"136151","1005","2009-07-10 09:02:40"
"136285","10508","2009-07-10 13:36:12"
"136508","3822","2009-07-10 20:12:53"
"136913","3919","2009-07-12 03:17:56"
"137172","636","2009-07-13 02:17:04"
"137598","2817","2009-07-13 18:19:37"
"137650","34710","2009-07-13 19:40:03"
"137772","2385","2009-07-14 00:59:41"
"138606","12086","2009-07-15 09:45:36"
"138883","4366","2009-07-15 18:14:32"
"138933","5432","2009-07-15 19:28:07"
"139506","20495","2009-07-16 13:48:49"
"139984","1931","2009-07-17 07:26:01"
"140260","3589","2009-07-17 15:46:50"
"140803","18478","2009-07-18 22:24:32"
"140871","897","2009-07-19 04:12:10"
"141345","2737","2009-07-20 11:40:59"
"141923","2743","2009-07-21 10:31:22"
"142829","72","2009-07-22 13:22:46"
"143336","7953","2009-07-23 02:01:59"
"144983","7140","2009-07-25 12:44:18"
"145403","74736","2009-07-26 21:37:49"
"145757","12314","2009-07-27 13:42:57"
"145863","76","2009-07-27 16:39:14"
"146124","1927","2009-07-28 03:26:10"
"146234","3450","2009-07-28 08:23:26"
"146622","36857","2009-07-28 19:08:12"
"146764","10708","2009-07-29 00:35:07"
"147024","74136","2009-07-29 11:24:12"
"147382","1023","2009-07-29 20:06:14"
"147407","21893","2009-07-29 20:43:09"
"148381","9533","2009-07-31 09:15:19"
"148415","6379","2009-07-31 10:30:37"
"148607","4181","2009-07-31 17:02:43"
"148970","601","2009-08-01 13:59:18"
"149076","15204","2009-08-01 20:50:45"
"149330","11601","2009-08-02 16:39:33"
"149715","1337","2009-08-03 12:28:05"
"149998","21586","2009-08-03 20:54:46"
"150774","5114","2009-08-05 03:41:41"
"150868","3580","2009-08-05 08:25:26"
"151004","10750","2009-08-05 12:11:55"
"151252","719","2009-08-05 18:13:07"
"151471","14185","2009-08-06 01:44:08"
"151495","38312","2009-08-06 03:06:36"
"152794","13946","2009-08-07 22:50:29"
"153225","3526","2009-08-09 07:55:39"
"154007","673","2009-08-10 22:06:37"
"154494","4328","2009-08-11 16:30:02"
"154502","7558","2009-08-11 16:39:34"
"154527","17245","2009-08-11 17:33:55"
"155137","61702","2009-08-12 14:52:57"
"155708","2154","2009-08-13 10:30:02"
"156869","19264","2009-08-15 09:26:04"
"157605","13800","2009-08-17 08:23:14"
"157762","3742","2009-05-01 14:07:46"
"157983","1339","2009-08-17 19:49:16"
"158680","2315","2009-08-18 17:58:48"
"158702","2845","2009-08-18 18:41:39"
"158886","367","2009-08-19 00:30:55"
"159218","179","2009-08-19 12:21:58"
"159434","8239","2009-08-19 16:51:30"
"159496","2347","2009-08-19 18:17:10"
"159607","3978","2009-08-19 21:05:36"
"159837","3928","2009-08-20 07:54:57"
"160173","78845","2009-08-20 16:03:33"
"160313","73729","2009-08-20 19:41:25"
"160718","2577","2009-08-21 11:10:00"
"162367","1604","2009-08-24 23:50:57"
"162461","13207","2009-08-25 05:27:08"
"162615","124","2009-08-25 10:32:12"
"162634","11151","2009-08-25 11:08:59"
"162792","18443","2009-08-25 14:17:33"
"163239","3235","2009-08-26 04:15:53"
"163832","4008","2009-08-26 21:45:36"
"163956","4051","2009-08-27 04:33:32"
"164345","1823","2009-08-27 16:49:11"
"164602","14919","2009-08-28 02:24:13"
"164835","164971","2009-08-28 12:15:59"
"164909","3868","2009-08-28 14:14:40"
"166012","9217","2009-08-31 13:22:55"
"166611","7405","2009-09-01 13:19:36"
"166997","8786","2009-09-02 03:51:32"
"167925","2247","2009-09-03 14:35:24"
"167988","410","2009-09-03 15:48:25"
"168196","9075","2009-09-03 22:31:57"
"169174","1365","2009-09-06 06:51:22"
"169635","6958","2009-09-07 10:57:56"
"170013","4627","2009-09-08 07:05:58"
"170196","4015","2009-09-08 13:29:57"
"170403","2602","2009-09-08 19:57:25"
"170419","387","2009-09-08 20:22:32"
"170865","4034","2009-09-09 13:37:43"
"171501","677","2009-09-10 15:02:14"
"171662","8542","2009-09-10 19:49:40"
"173623","7893","2009-09-15 09:52:45"
"174349","9151","2009-09-16 13:43:11"
"174368","2384","2009-09-16 14:09:36"
"174430","2437","2009-09-16 15:37:40"
"176300","1762","2009-09-20 19:51:42"
"176312","7609","2009-09-20 20:42:41"
"176336","5510","2009-09-20 23:01:09"
"177145","9003","2009-09-22 12:55:17"
"177605","7969","2009-09-23 06:39:17"
"177665","6045","2009-09-23 08:55:39"
"177758","4072","2009-09-23 11:44:55"
"178526","32045","2009-09-24 15:18:52"
"179630","35703","2009-09-27 02:02:06"
"179850","105212","2009-09-27 21:12:40"
"179962","2174","2009-09-28 00:50:42"
"180335","3439","2009-09-28 12:49:25"
"180719","25464","2009-09-28 20:50:24"
"180770","3670","2009-09-28 22:15:35"
"180956","180","2009-09-29 07:36:12"
"180990","647","2009-09-29 08:49:52"
"181336","13826","2009-09-29 18:37:06"
"181497","15136","2009-09-29 23:57:40"
"182094","2602","2009-09-30 20:34:24"
"182155","6122","2009-09-30 22:37:15"
"182690","33989","2009-10-01 18:46:58"
"182823","2492","2009-10-01 23:58:00"
"183110","14652","2009-10-02 13:36:29"
"183915","1220","2009-10-04 11:58:43"
"184145","2160","2009-10-05 04:32:25"
"184201","4067","2009-10-05 07:23:13"
"184325","1644","2009-10-05 11:45:29"
"184379","13250","2009-10-05 13:04:32"
"184646","7063","2009-10-05 22:33:38"
"184792","2940","2009-10-06 06:51:43"
"185041","11951","2009-10-06 14:55:26"
"185417","214","2009-10-07 06:20:28"
"185668","2170","2009-10-07 14:31:12"
"185722","41782","2009-10-07 15:36:14"
"186212","7529","2009-10-08 08:19:25"
"186424","903","2009-10-08 14:32:56"
"187122","1620","2009-10-09 11:50:49"
"187237","5420","2009-10-09 14:47:01"
"187282","461","2009-10-09 16:02:21"
"187986","10856","2009-10-11 15:06:56"
"188107","12773","2009-10-11 20:37:18"
"189972","867","2009-10-14 16:01:12"
"190201","58355","2009-10-14 21:45:43"
"190834","1748","2009-10-15 19:16:11"
"191337","531","2009-10-16 17:11:47"
"191797","13560","2009-10-17 20:23:12"
"192040","869","2009-10-18 15:37:55"
"192336","861","2009-10-19 09:49:00"
"192444","36765","2009-10-19 13:38:14"
"192641","208","2009-10-19 19:28:16"
"193313","17617","2009-10-20 18:35:06"
"193467","8268","2009-10-20 23:53:40"
"193958","149","2009-10-21 16:56:38"
"194544","28730","2009-10-22 12:31:11"
"194894","21447","2009-10-22 20:44:42"
"194982","21656","2009-10-22 23:48:30"
"195215","1221","2009-10-23 10:18:46"
"195465","1053","2009-10-23 17:02:02"
"195956","3154","2009-10-24 18:40:50"
"195977","3811","2009-10-24 20:17:44"
"196134","3837","2009-10-25 09:42:41"
"196353","1306","2009-10-25 23:27:41"
"196533","3955","2009-10-26 09:52:42"
"197127","8500","2009-10-27 07:35:55"
"197342","1171","2009-10-27 13:28:48"
"197610","3298","2009-10-27 19:59:29"
"198048","12137","2009-10-28 12:09:54"
"198153","4909","2009-10-28 14:20:29"
"198579","310","2009-10-29 01:23:20"
"200540","9052","2009-11-01 16:59:33"
"200609","22475","2009-11-01 21:33:21"
"201021","3719","2009-11-02 15:22:32"
"201202","7700","2009-11-02 20:29:48"
"201306","5918","2009-11-02 23:51:25"
"202022","1888","2009-11-03 19:37:47"
"202859","2108","2009-11-04 18:58:32"
"203018","8674","2009-11-04 22:28:55"
"203661","8389","2009-11-05 16:09:36"
"203968","16606","2009-11-05 18:46:35"
"203991","1821","2009-11-05 19:07:02"
"204042","15325","2009-11-05 19:45:40"
"204216","993","2009-11-05 21:59:08"
"204292","1436","2009-11-05 23:34:16"
"204665","11557","2009-11-06 09:49:34"
"204693","15026","2009-11-06 10:30:18"
"204788","44360","2009-11-06 12:23:52"
"204830","208","2009-11-06 13:12:52"
"204843","1132","2009-11-06 13:25:15"
"204845","13631","2009-11-06 13:32:32"
"206750","2645","2009-11-09 09:32:54"
"207248","113085","2009-11-09 20:05:18"
"207352","3327","2009-11-09 22:16:06"
"207364","10134","2009-11-09 22:43:19"
"207652","7415","2009-11-10 09:45:02"
"209486","1076","2009-11-12 10:34:41"
"209513","37239","2009-11-12 11:25:12"
"210085","4352","2009-11-13 00:23:27"
"210199","622","2009-11-13 05:11:58"
"210445","3058","2009-11-13 13:01:24"
"210713","3249","2009-11-13 20:00:29"
"210920","7855","2009-11-14 06:02:33"
"211197","5666","2009-11-14 22:27:25"
"211220","611","2009-11-14 23:50:07"
